stage,name,method,n_steps,n_replicas,a,t,l2_f_median,l2_f_q25,l2_f_q75,l2_fp_median,l2_fp_q25,l2_fp_q75,repl_cumulative_median,n_seeds
difficulty_crowding,abf,abf,250000,1024,1.5,180.0,0.09394407980134373,0.09176165816632939,0.09491972708886863,0.34292753366540557,0.34107014663857105,0.3458799345628857,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,185.0,0.09465136743459435,0.09102502373216816,0.09592085563154969,0.3430882876004075,0.3392662088813035,0.3504755440917593,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,190.0,0.09392222320543415,0.09152277897780714,0.09576141985591975,0.3422124235222182,0.3405844110116362,0.34717220747753474,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,195.0,0.09334809352332962,0.0915949792762297,0.0961650483253857,0.34425155929951634,0.33856264987327084,0.34650721985397126,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,200.0,0.09363511368828797,0.09225235291243691,0.09532325959475589,0.34322875369098466,0.3389826922258615,0.34689546879259203,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,205.0,0.0940512519131095,0.09266565667671584,0.09448475696456854,0.34367439140459344,0.3406326977434582,0.34465197714066775,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,210.0,0.09170285758946665,0.09128466012584649,0.09382177283383251,0.3421299986595035,0.338213108344384,0.34528595532959055,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,215.0,0.09059655272718302,0.08990756488531994,0.09284780360020636,0.3398350519432514,0.3344734157475736,0.34141656108247675,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,220.0,0.08989436399453293,0.08855244681741983,0.09349071171379111,0.33848570709280396,0.332667033340715,0.34046855449984126,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,225.0,0.08863974361225299,0.08860216103454811,0.09166182620480312,0.3364208743352635,0.32992056179433543,0.3376093888395664,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,230.0,0.0892787697432558,0.08862971993917612,0.09090602856313654,0.3355183926536335,0.32978789308982065,0.33793731150995127,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,235.0,0.08942026081477557,0.08881905552422793,0.08991790794697448,0.33297866076639454,0.3309125868481363,0.3368088817831716,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,240.0,0.08868210605135507,0.08744334234082875,0.0894102929210841,0.3313119605394716,0.3306285705300605,0.33470049715964595,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,245.0,0.08663827293775506,0.08643370082146129,0.08978879919043477,0.33252270788664245,0.3263582760307775,0.33327883933334873,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,250.0,0.0857504324403538,0.08535984847543658,0.08844206498583157,0.32928923852321446,0.323481732008693,0.32958158395365744,0.0,5
